Count Sec mSec ID Len SrcPort DestPort Flags
281 1607293080 367883 25189 2555 443 54598 24
282 1607293080 368137 25191 2852 443 54598 16
283 1607293080 368383 25193 2852 443 54598 16
284 1607293080 368636 25195 2852 443 54598 16
285 1607293080 368891 25197 2852 443 54598 16
286 1607293080 369139 25199 2852 443 54598 16
287 1607293080 369416 25201 4252 443 54598 16
288 1607293080 369654 25204 2852 443 54598 16
289 1607293080 369911 25206 2852 443 54598 16
290 1607293080 370172 25208 2852 443 54598 16
291 1607293080 370459 53660 52 443 45288 16
292 1607293080 370476 25210 2852 443 54598 16
293 1607293080 370676 25212 3464 443 54598 24
294 1607293080 370908 25215 2852 443 54598 16
295 1607293080 371137 25217 2852 443 54598 16
296 1607293080 371388 25219 2852 443 54598 16
297 1607293080 371639 25221 2852 443 54598 16
298 1607293080 371895 25223 2852 443 54598 16
299 1607293080 372149 25225 2852 443 54598 16
300 1607293080 372398 25227 2852 443 54598 16
301 1607293080 372646 25229 2789 443 54598 24
302 1607293080 372889 25231 2852 443 54598 16
303 1607293080 373138 25233 2852 443 54598 16
304 1607293080 373397 25235 4252 443 54598 16
305 1607293080 373635 25238 741 443 54598 24
306 1607293080 373647 53661 1452 443 45288 16
307 1607293080 373888 53662 2748 443 45288 24
308 1607293080 373899 53664 82 443 45288 24
309 1607293080 374425 22535 52 443 43012 16
310 1607293080 375795 15934 52 443 36136 16
311 1607293080 376014 15935 2852 443 36136 16
312 1607293080 376254 15937 1348 443 36136 24
313 1607293080 376267 15938 82 443 36136 24
314 1607293080 383275 2728 52 443 50528 16
315 1607293080 383655 2729 1452 443 50528 16
316 1607293080 383955 2730 2748 443 50528 24
317 1607293080 384179 2732 82 443 50528 24
318 1607293080 391611 55978 52 443 57792 16
319 1607293080 392046 55979 1452 443 57792 16
320 1607293080 392291 55980 2748 443 57792 24
321 1607293080 392304 55982 82 443 57792 24
322 1607293080 399758 25239 741 443 54598 24
323 1607293080 402534 20492 52 443 37490 16
324 1607293080 410473 18623 52 443 59654 16
325 1607293080 411414 18624 2852 443 59654 16
326 1607293080 411645 18626 1348 443 59654 24
327 1607293080 411659 18627 82 443 59654 24
328 1607293080 427773 9846 52 443 32984 16
329 1607293080 427836 9847 1452 443 32984 16
330 1607293080 427852 9848 2748 443 32984 24
331 1607293080 427861 9850 84 443 32984 24
332 1607293080 432024 25240 52 443 54598 16
333 1607293080 432462 25241 1925 443 54598 24
334 1607293080 432713 25243 2425 443 54598 24
335 1607293080 432728 25245 52 443 54598 16
336 1607293080 432974 25246 2852 443 54598 16
337 1607293080 433220 25248 2852 443 54598 16
338 1607293080 433476 25250 2852 443 54598 16
339 1607293080 433720 25252 2852 443 54598 16
340 1607293080 433964 25254 2852 443 54598 16
341 1607293080 434251 25256 2458 443 54598 24
342 1607293080 434264 25258 1452 443 54598 16
343 1607293080 434461 25259 1452 443 54598 16
344 1607293080 434717 25260 4252 443 54598 16
345 1607293080 434973 25263 2852 443 54598 16
346 1607293080 435242 25265 2305 443 54598 24
347 1607293080 435256 25267 52 443 54598 16
348 1607293080 435469 25268 2852 443 54598 16
349 1607293080 435718 25270 2852 443 54598 16
350 1607293080 435968 25272 2852 443 54598 16
351 1607293080 436218 25274 2852 443 54598 16
352 1607293080 436473 25276 4252 443 54598 16
353 1607293080 436719 25279 2852 443 54598 16
354 1607293080 436976 25281 2852 443 54598 16
